Week,ai and anxiety
9/25/2022,0
10/2/2022,0
10/9/2022,0
10/16/2022,0
10/23/2022,0
10/30/2022,0
11/6/2022,0
11/13/2022,0
11/20/2022,0
11/27/2022,0
12/4/2022,38
12/11/2022,0
12/18/2022,0
12/25/2022,0
1/1/2023,0
1/8/2023,0
1/15/2023,33
1/22/2023,0
1/29/2023,0
2/5/2023,0
2/12/2023,0
2/19/2023,0
2/26/2023,0
3/5/2023,0
3/12/2023,38
3/19/2023,0
3/26/2023,0
4/2/2023,0
4/9/2023,62
4/16/2023,38
4/23/2023,58
4/30/2023,0
5/7/2023,40
5/14/2023,0
5/21/2023,43
5/28/2023,34
6/4/2023,0
6/11/2023,0
6/18/2023,0
6/25/2023,0
7/2/2023,0
7/9/2023,43
7/16/2023,46
7/23/2023,0
7/30/2023,58
8/6/2023,0
8/13/2023,37
8/20/2023,66
8/27/2023,0
9/3/2023,49
9/10/2023,0
9/17/2023,0
9/24/2023,34
10/1/2023,43
10/8/2023,0
10/15/2023,70
10/22/2023,67
10/29/2023,36
11/5/2023,0
11/12/2023,0
11/19/2023,0
11/26/2023,56
12/3/2023,75
12/10/2023,50
12/17/2023,40
12/24/2023,0
12/31/2023,38
1/7/2024,52
1/14/2024,49
1/21/2024,68
1/28/2024,39
2/4/2024,61
2/11/2024,55
2/18/2024,52
2/25/2024,59
3/3/2024,100
3/10/2024,75
3/17/2024,42
3/24/2024,78
3/31/2024,53
4/7/2024,52
4/14/2024,0
4/21/2024,60
4/28/2024,91
5/5/2024,74
5/12/2024,56
5/19/2024,50
