Week,ai and mental health
9/25/2022,0
10/2/2022,0
10/9/2022,0
10/16/2022,0
10/23/2022,0
10/30/2022,0
11/6/2022,0
11/13/2022,0
11/20/2022,0
11/27/2022,0
12/4/2022,20
12/11/2022,0
12/18/2022,0
12/25/2022,0
1/1/2023,0
1/8/2023,0
1/15/2023,23
1/22/2023,0
1/29/2023,19
2/5/2023,0
2/12/2023,23
2/19/2023,0
2/26/2023,16
3/5/2023,0
3/12/2023,22
3/19/2023,39
3/26/2023,37
4/2/2023,36
4/9/2023,35
4/16/2023,43
4/23/2023,43
4/30/2023,45
5/7/2023,46
5/14/2023,25
5/21/2023,36
5/28/2023,38
6/4/2023,27
6/11/2023,23
6/18/2023,34
6/25/2023,0
7/2/2023,26
7/9/2023,29
7/16/2023,38
7/23/2023,0
7/30/2023,24
8/6/2023,31
8/13/2023,22
8/20/2023,21
8/27/2023,29
9/3/2023,34
9/10/2023,35
9/17/2023,45
9/24/2023,44
10/1/2023,55
10/8/2023,43
10/15/2023,53
10/22/2023,41
10/29/2023,49
11/5/2023,32
11/12/2023,40
11/19/2023,37
11/26/2023,51
12/3/2023,47
12/10/2023,56
12/17/2023,26
12/24/2023,0
12/31/2023,30
1/7/2024,28
1/14/2024,40
1/21/2024,34
1/28/2024,47
2/4/2024,42
2/11/2024,59
2/18/2024,50
2/25/2024,58
3/3/2024,68
3/10/2024,74
3/17/2024,82
3/24/2024,80
3/31/2024,71
4/7/2024,51
4/14/2024,75
4/21/2024,100
4/28/2024,57
5/5/2024,74
5/12/2024,63
5/19/2024,61
