Week,ai
1/30/2022,17
2/6/2022,17
2/13/2022,19
2/20/2022,18
2/27/2022,18
3/6/2022,17
3/13/2022,19
3/20/2022,19
3/27/2022,19
4/3/2022,19
4/10/2022,19
4/17/2022,17
4/24/2022,18
5/1/2022,18
5/8/2022,18
5/15/2022,17
5/22/2022,18
5/29/2022,18
6/5/2022,19
6/12/2022,21
6/19/2022,20
6/26/2022,19
7/3/2022,18
7/10/2022,18
7/17/2022,18
7/24/2022,18
7/31/2022,19
8/7/2022,20
8/14/2022,20
8/21/2022,19
8/28/2022,19
9/4/2022,20
9/11/2022,20
9/18/2022,20
9/25/2022,21
10/2/2022,20
10/9/2022,23
10/16/2022,22
10/23/2022,22
10/30/2022,22
11/6/2022,22
11/13/2022,22
11/20/2022,23
11/27/2022,27
12/4/2022,37
12/11/2022,36
12/18/2022,31
12/25/2022,28
1/1/2023,29
1/8/2023,32
1/15/2023,32
1/22/2023,35
1/29/2023,39
2/5/2023,43
2/12/2023,40
2/19/2023,42
2/26/2023,39
3/5/2023,38
3/12/2023,42
3/19/2023,45
3/26/2023,49
4/2/2023,52
4/9/2023,56
4/16/2023,66
4/23/2023,71
4/30/2023,79
5/7/2023,76
5/14/2023,77
5/21/2023,70
5/28/2023,77
6/4/2023,73
6/11/2023,78
6/18/2023,73
6/25/2023,70
7/2/2023,72
7/9/2023,73
7/16/2023,76
7/23/2023,68
7/30/2023,69
8/6/2023,67
8/13/2023,70
8/20/2023,70
8/27/2023,66
9/3/2023,66
9/10/2023,66
9/17/2023,70
9/24/2023,73
10/1/2023,81
10/8/2023,78
10/15/2023,76
10/22/2023,76
10/29/2023,76
11/5/2023,81
11/12/2023,79
11/19/2023,83
11/26/2023,79
12/3/2023,84
12/10/2023,84
12/17/2023,76
12/24/2023,74
12/31/2023,76
1/7/2024,85
1/14/2024,88
1/21/2024,84
1/28/2024,90
2/4/2024,80
2/11/2024,87
2/18/2024,96
2/25/2024,92
3/3/2024,96
3/10/2024,94
3/17/2024,90
3/24/2024,92
3/31/2024,87
4/7/2024,91
4/14/2024,91
4/21/2024,94
4/28/2024,91
5/5/2024,93
5/12/2024,95
5/19/2024,100
